run_id,protocol,training_seed,split_seed,augmentation_seed,samples,accuracy,macro_f1,test_set_sha256,model_sha256
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,paper_random_hardening_v2,1,1,1,1866,0.9994640943193998,0.9994603467272278,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520,52b671d28bc8b4abcf7ecfae597ea1e1f6cddd027ab71bc413571dc2f3d73288
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,paper_random_hardening_v2,2,1,1,1866,0.9989281886387996,0.9989206934544556,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520,d17054091b0e6116626459b7fc095800dc2f68aa62df5a2f192d93321a1f5500
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,paper_random_hardening_v2,3,1,1,1866,0.9994640943193998,0.9994603467272278,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520,3f58edead21fc5d3b856df4fcef196ca3c502ade615f79e7413a639c95aeb982
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,paper_random_hardening_v2,4,1,1,1866,0.9983922829581994,0.9983810401816832,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520,32e323c1dac56edcca1422e5bc179fae0d82aa03430a141a11d787649f9db527
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,paper_random_hardening_v2,5,1,1,1866,0.9994640943193998,0.9994603467272278,2e7bac3ea6f0a5ff1646b7bb6078545181de7fa18244fc8bdc4a7d6f9b628520,58ca33fac44e97159a3f1469488b9017c8283139304b4c17e6df6bbe42c25c56
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,transform_holdout_hardening_v2,1,1,1,1244,1.0,1.0,a94f077bbc5a90cf6b42e7451d8f2763db107c1a6e2563033cb8472b7b7cc7a4,3187862323769ddfc54218b6a56eefc8b2bd2cb21268981d01fdebc86824b41b
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,transform_holdout_hardening_v2,2,1,1,1244,1.0,1.0,a94f077bbc5a90cf6b42e7451d8f2763db107c1a6e2563033cb8472b7b7cc7a4,d5fb6d9a52271082c985cfd1fc8a89f5174b04a9456248078af6aa5d6f4463d1
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,transform_holdout_hardening_v2,3,1,1,1244,1.0,1.0,a94f077bbc5a90cf6b42e7451d8f2763db107c1a6e2563033cb8472b7b7cc7a4,73dda4ca3dbb78d19fe8aece4e69e4ba56cd416b145a41628d4122881194b1e0
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,transform_holdout_hardening_v2,4,1,1,1244,1.0,1.0,a94f077bbc5a90cf6b42e7451d8f2763db107c1a6e2563033cb8472b7b7cc7a4,15a82d69debae39bd23fcba01ce29073be45966d873c5e7e61866636202e21c3
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,transform_holdout_hardening_v2,5,1,1,1244,1.0,1.0,a94f077bbc5a90cf6b42e7451d8f2763db107c1a6e2563033cb8472b7b7cc7a4,9bcd40c4548a8f336f129795fc9302eaaab4f62ace6b7e73e8981065f2958a40
