protocol,method,distance,train_samples,test_samples,accuracy,macro_f1,raw_errors,accuracy_ci_low,accuracy_ci_high,bootstrap_unit,bootstrap_resamples,metadata_path,metadata_sha256
paper_random_hardening_v2,phash,hamming,3918,1866,0.6286173633440515,0.6327126760739993,693,0.6077170418006431,0.6495176848874598,class_id,2000,artifacts/metadata/hardening_v2/metadata_paper_random_hardening_v2_split1_aug1.csv,f1fd1251bb1be3f0e70c21f9ee44b51be7abd8ccc25895b6491da50f0af49757
paper_random_hardening_v2,pixels32,euclidean,3918,1866,0.6538049303322615,0.6643014412057149,646,0.6339630225080386,0.6741693461950696,class_id,2000,artifacts/metadata/hardening_v2/metadata_paper_random_hardening_v2_split1_aug1.csv,f1fd1251bb1be3f0e70c21f9ee44b51be7abd8ccc25895b6491da50f0af49757
paper_random_hardening_v2,hsv_histogram,chi2,3918,1866,0.8558413719185424,0.8575240030129382,269,0.8413719185423365,0.8713826366559485,class_id,2000,artifacts/metadata/hardening_v2/metadata_paper_random_hardening_v2_split1_aug1.csv,f1fd1251bb1be3f0e70c21f9ee44b51be7abd8ccc25895b6491da50f0af49757
paper_random_hardening_v2,hog,cosine,3918,1866,0.7347266881028939,0.7483521703371023,495,0.7159699892818864,0.7534833869239014,class_id,2000,artifacts/metadata/hardening_v2/metadata_paper_random_hardening_v2_split1_aug1.csv,f1fd1251bb1be3f0e70c21f9ee44b51be7abd8ccc25895b6491da50f0af49757
paper_random_hardening_v2,imagenet_efficientnetv2b3,cosine,3918,1866,0.9689174705251876,0.9688948778980936,58,0.9608788853161844,0.9769560557341908,class_id,2000,artifacts/metadata/hardening_v2/metadata_paper_random_hardening_v2_split1_aug1.csv,f1fd1251bb1be3f0e70c21f9ee44b51be7abd8ccc25895b6491da50f0af49757
transform_holdout_hardening_v2,phash,hamming,4354,1244,0.9292604501607716,0.9292298269790232,88,0.916378617363344,0.9413183279742764,class_id,2000,artifacts/metadata/hardening_v2/metadata_transform_holdout_hardening_v2_split1_aug1.csv,d835a26f3a7fdf279c270a588282468f26314afa97b7ea7ddb85de9a3d6644e2
transform_holdout_hardening_v2,pixels32,euclidean,4354,1244,0.9983922829581994,0.9983667636400756,2,0.9959807073954984,1.0,class_id,2000,artifacts/metadata/hardening_v2/metadata_transform_holdout_hardening_v2_split1_aug1.csv,d835a26f3a7fdf279c270a588282468f26314afa97b7ea7ddb85de9a3d6644e2
transform_holdout_hardening_v2,hsv_histogram,chi2,4354,1244,0.9758842443729904,0.9760076650751892,30,0.9678456591639872,0.9839228295819936,class_id,2000,artifacts/metadata/hardening_v2/metadata_transform_holdout_hardening_v2_split1_aug1.csv,d835a26f3a7fdf279c270a588282468f26314afa97b7ea7ddb85de9a3d6644e2
transform_holdout_hardening_v2,hog,cosine,4354,1244,1.0,1.0,0,1.0,1.0,class_id,2000,artifacts/metadata/hardening_v2/metadata_transform_holdout_hardening_v2_split1_aug1.csv,d835a26f3a7fdf279c270a588282468f26314afa97b7ea7ddb85de9a3d6644e2
transform_holdout_hardening_v2,imagenet_efficientnetv2b3,cosine,4354,1244,0.9983922829581994,0.9983667636400756,2,0.9959807073954984,1.0,class_id,2000,artifacts/metadata/hardening_v2/metadata_transform_holdout_hardening_v2_split1_aug1.csv,d835a26f3a7fdf279c270a588282468f26314afa97b7ea7ddb85de9a3d6644e2
